Job_role,Client,Source,Recruiter Name,Submission_date,Interview_date,Offer_date,Joining_date,Status,Salary,Location,Client
RTL Design Engineer,Amazon,Indeed,Recruiter_B,08-01-2024 00:00,15-01-2024 00:00,25-01-2024 00:00,05-02-2024 00:00,Rejected,86735,Washington,Amazon
RTL Design Engineer,Accenture,LinkedIn,Recruiter_B,08-01-2024 00:00,09-01-2024 00:00,13-01-2024 00:00,06-02-2024 00:00,Offered,120866,California,Accenture
Verification Engineer,Google,LinkedIn,Imtyaz,08-01-2024 00:00,12-01-2024 00:00,20-01-2024 00:00,07-02-2024 00:00,Joined,119312,Washington,Google
ASIC Design Engineer,Deloitte,Referral,Recruiter_B,09-01-2024 00:00,12-01-2024 00:00,14-01-2024 00:00,31-01-2024 00:00,Joined,88537,California,Deloitte
RTL Design Engineer,Accenture,Naukri,Recruiter_A,09-01-2024 00:00,12-01-2024 00:00,19-01-2024 00:00,02-02-2024 00:00,Offered,97274,New York,Accenture
ASIC Design Engineer,Accenture,Indeed,Imtyaz,09-01-2024 00:00,11-01-2024 00:00,21-01-2024 00:00,02-02-2024 00:00,Rejected,142960,Texas,Accenture
ASIC Design Engineer,Google,Naukri,Imtyaz,09-01-2024 00:00,16-01-2024 00:00,25-01-2024 00:00,04-02-2024 00:00,Joined,77202,New York,Google
Mechanical Engineer,Microsoft,Indeed,Imtyaz,09-01-2024 00:00,17-01-2024 00:00,24-01-2024 00:00,05-02-2024 00:00,Rejected,85452,Texas,Microsoft
RTL Design Engineer,Deloitte,LinkedIn,Recruiter_C,09-01-2024 00:00,15-01-2024 00:00,24-01-2024 00:00,07-02-2024 00:00,Offered,130105,California,Deloitte
Verification Engineer,Microsoft,Referral,Recruiter_C,09-01-2024 00:00,16-01-2024 00:00,23-01-2024 00:00,10-02-2024 00:00,Joined,89334,California,Microsoft
Verification Engineer,Google,Naukri,Recruiter_A,09-01-2024 00:00,19-01-2024 00:00,24-01-2024 00:00,14-02-2024 00:00,Offered,101075,Illinois,Google
Mechanical Engineer,Microsoft,Career Site,Recruiter_D,09-01-2024 00:00,14-01-2024 00:00,24-01-2024 00:00,21-02-2024 00:00,Rejected,146468,New York,Microsoft
Mechanical Engineer,Accenture,Career Site,Recruiter_B,10-01-2024 00:00,15-01-2024 00:00,17-01-2024 00:00,26-01-2024 00:00,Joined,111021,Texas,Accenture
RTL Design Engineer,Google,Career Site,Imtyaz,10-01-2024 00:00,14-01-2024 00:00,18-01-2024 00:00,01-02-2024 00:00,Interview,64252,Washington,Google
Mechanical Engineer,Microsoft,Referral,Imtyaz,10-01-2024 00:00,11-01-2024 00:00,15-01-2024 00:00,04-02-2024 00:00,Rejected,135740,New York,Microsoft
ASIC Design Engineer,Amazon,Career Site,Recruiter_B,10-01-2024 00:00,20-01-2024 00:00,23-01-2024 00:00,05-02-2024 00:00,Rejected,131220,California,Amazon
Technical Project Manager,Amazon,Career Site,Imtyaz,10-01-2024 00:00,20-01-2024 00:00,22-01-2024 00:00,08-02-2024 00:00,rejected,116853,Texas,Amazon
ASIC Design Engineer,Google,Career Site,Recruiter_C,10-01-2024 00:00,12-01-2024 00:00,17-01-2024 00:00,15-02-2024 00:00,Interview,85145,Washington,Google
Verification Engineer,Google,LinkedIn,Recruiter_A,10-01-2024 00:00,16-01-2024 00:00,25-01-2024 00:00,18-02-2024 00:00,Rejected,76832,Washington,Google
Mechanical Engineer,Deloitte,Naukri,Imtyaz,11-01-2024 00:00,14-01-2024 00:00,20-01-2024 00:00,25-01-2024 00:00,Offered,146902,New York,Deloitte
RTL Design Engineer,Accenture,Naukri,Recruiter_D,11-01-2024 00:00,21-01-2024 00:00,23-01-2024 00:00,02-02-2024 00:00,Offered,62543,California,Accenture
RTL Design Engineer,Accenture,LinkedIn,Recruiter_C,11-01-2024 00:00,16-01-2024 00:00,21-01-2024 00:00,04-02-2024 00:00,Offered,99007,Texas,Accenture
ASIC Design Engineer,Google,Referral,Imtyaz,11-01-2024 00:00,15-01-2024 00:00,23-01-2024 00:00,10-02-2024 00:00,Offered,82197,Texas,Google
ASIC Design Engineer,Amazon,LinkedIn,Recruiter_B,11-01-2024 00:00,21-01-2024 00:00,24-01-2024 00:00,17-02-2024 00:00,Rejected,128904,Washington,Amazon
Technical Project Manager,Microsoft,LinkedIn,Recruiter_B,11-01-2024 00:00,14-01-2024 00:00,21-01-2024 00:00,20-02-2024 00:00,Joined,141760,Texas,Microsoft
Mechanical Engineer,Microsoft,Career Site,Recruiter_B,12-01-2024 00:00,19-01-2024 00:00,21-01-2024 00:00,29-01-2024 00:00,Interview,82761,Illinois,Microsoft
Verification Engineer,Amazon,Referral,Imtyaz,12-01-2024 00:00,17-01-2024 00:00,21-01-2024 00:00,01-02-2024 00:00,Joined,129612,Washington,Amazon
ASIC Design Engineer,Deloitte,Career Site,Recruiter_D,12-01-2024 00:00,15-01-2024 00:00,16-01-2024 00:00,06-02-2024 00:00,Interview,113948,Illinois,Deloitte
Mechanical Engineer,Amazon,Naukri,Recruiter_D,12-01-2024 00:00,16-01-2024 00:00,20-01-2024 00:00,11-02-2024 00:00,Interview,60244,Texas,Amazon
ASIC Design Engineer,Amazon,Career Site,Recruiter_A,12-01-2024 00:00,15-01-2024 00:00,19-01-2024 00:00,18-02-2024 00:00,Joined,73588,Texas,Amazon
Verification Engineer,Microsoft,Career Site,Recruiter_C,12-01-2024 00:00,19-01-2024 00:00,26-01-2024 00:00,22-02-2024 00:00,Interview,131053,California,Microsoft
RTL Design Engineer,Amazon,LinkedIn,Recruiter_B,16-01-2024 00:00,17-01-2024 00:00,25-01-2024 00:00,30-01-2024 00:00,Joined,109488,Texas,Amazon
Technical Project Manager,Microsoft,Naukri,Recruiter_A,16-01-2024 00:00,25-01-2024 00:00,03-02-2024 00:00,16-02-2024 00:00,Interview,68135,New York,Microsoft
RTL Design Engineer,Google,Indeed,Recruiter_B,16-01-2024 00:00,24-01-2024 00:00,02-02-2024 00:00,16-02-2024 00:00,Rejected,60221,Washington,Google
RTL Design Engineer,Google,Naukri,Recruiter_C,16-01-2024 00:00,18-01-2024 00:00,23-01-2024 00:00,17-02-2024 00:00,Joined,77641,Texas,Google
Technical Project Manager,Accenture,Naukri,Recruiter_D,17-01-2024 00:00,26-01-2024 00:00,27-01-2024 00:00,07-02-2024 00:00,Rejected,115980,California,Accenture
Mechanical Engineer,Accenture,Career Site,Recruiter_D,17-01-2024 00:00,19-01-2024 00:00,23-01-2024 00:00,10-02-2024 00:00,Rejected,97459,Texas,Accenture
ASIC Design Engineer,Google,Naukri,Recruiter_C,17-01-2024 00:00,18-01-2024 00:00,28-01-2024 00:00,11-02-2024 00:00,Interview,75236,Illinois,Google
Verification Engineer,Accenture,Referral,Recruiter_B,17-01-2024 00:00,18-01-2024 00:00,19-01-2024 00:00,12-02-2024 00:00,Offered,102676,California,Accenture
ASIC Design Engineer,Google,LinkedIn,Imtyaz,17-01-2024 00:00,25-01-2024 00:00,30-01-2024 00:00,21-02-2024 00:00,Offered,120891,Illinois,Google
Technical Project Manager,Google,Indeed,Recruiter_B,17-01-2024 00:00,25-01-2024 00:00,27-01-2024 00:00,22-02-2024 00:00,Rejected,75551,Washington,Google
Technical Project Manager,Deloitte,LinkedIn,Recruiter_A,17-01-2024 00:00,19-01-2024 00:00,29-01-2024 00:00,27-02-2024 00:00,Rejected,85684,Texas,Deloitte
Verification Engineer,Microsoft,LinkedIn,Recruiter_C,18-01-2024 00:00,27-01-2024 00:00,28-01-2024 00:00,06-02-2024 00:00,Rejected,122136,Washington,Microsoft
Mechanical Engineer,Google,Career Site,Imtyaz,18-01-2024 00:00,23-01-2024 00:00,30-01-2024 00:00,06-02-2024 00:00,Offered,73991,Washington,Google
Technical Project Manager,Google,LinkedIn,Recruiter_C,18-01-2024 00:00,22-01-2024 00:00,29-01-2024 00:00,11-02-2024 00:00,Rejected,113705,California,Google
Verification Engineer,Accenture,Referral,Recruiter_A,18-01-2024 00:00,28-01-2024 00:00,01-02-2024 00:00,12-02-2024 00:00,Interview,72129,Texas,Accenture
Technical Project Manager,Deloitte,Indeed,Recruiter_B,18-01-2024 00:00,26-01-2024 00:00,29-01-2024 00:00,17-02-2024 00:00,Offered,99019,Washington,Deloitte
Mechanical Engineer,Amazon,Referral,Recruiter_B,18-01-2024 00:00,19-01-2024 00:00,21-01-2024 00:00,17-02-2024 00:00,Interview,72022,Texas,Amazon
Technical Project Manager,Accenture,LinkedIn,Recruiter_A,18-01-2024 00:00,23-01-2024 00:00,26-01-2024 00:00,18-02-2024 00:00,Joined,79496,California,Accenture
Verification Engineer,Google,Naukri,Recruiter_D,18-01-2024 00:00,27-01-2024 00:00,01-02-2024 00:00,23-02-2024 00:00,Offered,144450,Washington,Google
Verification Engineer,Microsoft,Indeed,Recruiter_C,18-01-2024 00:00,22-01-2024 00:00,26-01-2024 00:00,23-02-2024 00:00,Joined,127448,Texas,Microsoft
Technical Project Manager,Deloitte,Indeed,Recruiter_C,18-01-2024 00:00,28-01-2024 00:00,03-02-2024 00:00,25-02-2024 00:00,Offered,70206,Washington,Deloitte
Mechanical Engineer,Amazon,Indeed,Recruiter_D,19-01-2024 00:00,21-01-2024 00:00,22-01-2024 00:00,06-02-2024 00:00,Offered,121695,Illinois,Amazon
RTL Design Engineer,Accenture,Naukri,Recruiter_C,19-01-2024 00:00,20-01-2024 00:00,22-01-2024 00:00,11-02-2024 00:00,Rejected,121683,California,Accenture
Verification Engineer,Deloitte,Naukri,Recruiter_B,19-01-2024 00:00,20-01-2024 00:00,25-01-2024 00:00,11-02-2024 00:00,Offered,129469,California,Deloitte
RTL Design Engineer,Amazon,LinkedIn,Recruiter_B,19-01-2024 00:00,20-01-2024 00:00,30-01-2024 00:00,13-02-2024 00:00,Rejected,62912,Illinois,Amazon
Verification Engineer,Accenture,Indeed,Recruiter_C,19-01-2024 00:00,28-01-2024 00:00,06-02-2024 00:00,20-02-2024 00:00,Interview,83728,Washington,Accenture
Verification Engineer,Accenture,Referral,Recruiter_D,19-01-2024 00:00,22-01-2024 00:00,29-01-2024 00:00,20-02-2024 00:00,Interview,117955,New York,Accenture
RTL Design Engineer,Amazon,Referral,Recruiter_C,19-01-2024 00:00,28-01-2024 00:00,03-02-2024 00:00,22-02-2024 00:00,Joined,72128,New York,Amazon
Mechanical Engineer,Microsoft,LinkedIn,Recruiter_C,19-01-2024 00:00,26-01-2024 00:00,04-02-2024 00:00,22-02-2024 00:00,Rejected,68940,California,Microsoft
Mechanical Engineer,Microsoft,LinkedIn,Recruiter_C,19-01-2024 00:00,25-01-2024 00:00,28-01-2024 00:00,26-02-2024 00:00,Interview,134487,California,Microsoft
RTL Design Engineer,Google,Naukri,Recruiter_C,22-01-2024 00:00,28-01-2024 00:00,01-02-2024 00:00,06-02-2024 00:00,Rejected,85695,Washington,Google
Verification Engineer,Google,Referral,Recruiter_B,22-01-2024 00:00,27-01-2024 00:00,30-01-2024 00:00,14-02-2024 00:00,Interview,84764,Illinois,Google
Verification Engineer,Amazon,LinkedIn,Recruiter_D,22-01-2024 00:00,25-01-2024 00:00,02-02-2024 00:00,17-02-2024 00:00,Joined,114058,Washington,Amazon
RTL Design Engineer,Amazon,LinkedIn,Recruiter_D,22-01-2024 00:00,27-01-2024 00:00,04-02-2024 00:00,19-02-2024 00:00,Interview,144550,New York,Amazon
Technical Project Manager,Accenture,Naukri,Recruiter_C,22-01-2024 00:00,01-02-2024 00:00,02-02-2024 00:00,22-02-2024 00:00,Interview,73799,Illinois,Accenture
ASIC Design Engineer,Amazon,Indeed,Recruiter_A,22-01-2024 00:00,23-01-2024 00:00,28-01-2024 00:00,26-02-2024 00:00,Joined,148492,Illinois,Amazon
Verification Engineer,Google,Naukri,Recruiter_A,22-01-2024 00:00,01-02-2024 00:00,11-02-2024 00:00,27-02-2024 00:00,Offered,136638,New York,Google
Verification Engineer,Google,LinkedIn,Recruiter_C,22-01-2024 00:00,28-01-2024 00:00,01-02-2024 00:00,02-03-2024 00:00,Offered,139730,Washington,Google
RTL Design Engineer,Microsoft  ,Indeed,Imtyaz,23-01-2024 00:00,28-01-2024 00:00,31-01-2024 00:00,08-02-2024 00:00,Interview,70445,Texas,Microsoft  
RTL Design Engineer,Microsoft,Naukri,Recruiter_D,23-01-2024 00:00,26-01-2024 00:00,31-01-2024 00:00,09-02-2024 00:00,Interview,129174,Illinois,Microsoft
ASIC Design Engineer,Google,Referral,Recruiter_C,23-01-2024 00:00,24-01-2024 00:00,29-01-2024 00:00,09-02-2024 00:00,Rejected,120122,New York,Google
Technical Project Manager,Accenture,LinkedIn,Imtyaz,23-01-2024 00:00,30-01-2024 00:00,01-02-2024 00:00,16-02-2024 00:00,Offered,80621,New York,Accenture
ASIC Design Engineer,Deloitte,LinkedIn,Recruiter_A,23-01-2024 00:00,30-01-2024 00:00,05-02-2024 00:00,18-02-2024 00:00,Rejected,63297,Washington,Deloitte
RTL Design Engineer,Google,Naukri,Recruiter_D,23-01-2024 00:00,28-01-2024 00:00,02-02-2024 00:00,20-02-2024 00:00,Offered,139479,New York,Google
Mechanical Engineer,Amazon,Naukri,Recruiter_C,23-01-2024 00:00,31-01-2024 00:00,10-02-2024 00:00,29-02-2024 00:00,Joined,91696,New York,Amazon
ASIC Design Engineer,Google,Referral,Recruiter_B,23-01-2024 00:00,01-02-2024 00:00,09-02-2024 00:00,10-03-2024 00:00,Joined,67369,New York,Google
Mechanical Engineer,Microsoft,Referral,Recruiter_A,24-01-2024 00:00,02-02-2024 00:00,06-02-2024 00:00,22-02-2024 00:00,Offered,60484,Texas,Microsoft
Mechanical Engineer,Amazon,LinkedIn,Recruiter_D,24-01-2024 00:00,31-01-2024 00:00,05-02-2024 00:00,24-02-2024 00:00,Rejected,128166,New York,Amazon
Technical Project Manager,Deloitte,Naukri,Recruiter_C,24-01-2024 00:00,29-01-2024 00:00,01-02-2024 00:00,27-02-2024 00:00,Interview,68393,California,Deloitte
RTL Design Engineer,Microsoft,LinkedIn,Recruiter_A,24-01-2024 00:00,29-01-2024 00:00,06-02-2024 00:00,04-03-2024 00:00,Interview,135206,Texas,Microsoft
ASIC Design Engineer,Deloitte,Career Site,Recruiter_A,24-01-2024 00:00,27-01-2024 00:00,06-02-2024 00:00,05-03-2024 00:00,Offered,90835,New York,Deloitte
RTL Design Engineer,Google,Referral,Recruiter_A,25-01-2024 00:00,26-01-2024 00:00,02-02-2024 00:00,15-02-2024 00:00,Offered,64097,Illinois,Google
Verification Engineer,Accenture,Naukri,Recruiter_D,25-01-2024 00:00,28-01-2024 00:00,07-02-2024 00:00,16-02-2024 00:00,Offered,69561,California,Accenture
ASIC Design Engineer,Google,Indeed,Recruiter_B,25-01-2024 00:00,31-01-2024 00:00,07-02-2024 00:00,19-02-2024 00:00,Interview,120985,Texas,Google
Technical Project Manager,Deloitte,LinkedIn,Recruiter_A,25-01-2024 00:00,30-01-2024 00:00,05-02-2024 00:00,20-02-2024 00:00,Offered,145101,Washington,Deloitte
Mechanical Engineer,Google,LinkedIn,Recruiter_C,25-01-2024 00:00,04-02-2024 00:00,08-02-2024 00:00,23-02-2024 00:00,Offered,125938,California,Google
ASIC Design Engineer,Accenture,LinkedIn,Recruiter_D,25-01-2024 00:00,26-01-2024 00:00,04-02-2024 00:00,24-02-2024 00:00,Interview,92299,Texas,Accenture
Mechanical Engineer,Google,Indeed,Recruiter_C,25-01-2024 00:00,27-01-2024 00:00,04-02-2024 00:00,03-03-2024 00:00,Interview,147159,California,Google
Technical Project Manager,Deloitte,Naukri,Recruiter_C,26-01-2024 00:00,31-01-2024 00:00,09-02-2024 00:00,15-02-2024 00:00,offered,64165,California,Deloitte
RTL Design Engineer,Accenture,Career Site,Imtyaz,26-01-2024 00:00,30-01-2024 00:00,07-02-2024 00:00,18-02-2024 00:00,Offered,140736,Illinois,Accenture
ASIC Design Engineer,Google,LinkedIn,Recruiter_B,26-01-2024 00:00,05-02-2024 00:00,07-02-2024 00:00,20-02-2024 00:00,Interview,109815,Washington,Google
Verification Engineer,Amazon,Naukri,Recruiter_D,26-01-2024 00:00,28-01-2024 00:00,07-02-2024 00:00,23-02-2024 00:00,Interview,144117,Washington,Amazon
ASIC Design Engineer,Google,Career Site,Recruiter_B,26-01-2024 00:00,02-02-2024 00:00,12-02-2024 00:00,24-02-2024 00:00,Offered,121220,Illinois,Google
Technical Project Manager,Amazon,LinkedIn,Imtyaz,26-01-2024 00:00,31-01-2024 00:00,10-02-2024 00:00,28-02-2024 00:00,Rejected,138040,Texas,Amazon
ASIC Design Engineer,Google,LinkedIn,Recruiter_A,26-01-2024 00:00,04-02-2024 00:00,14-02-2024 00:00,01-03-2024 00:00,Rejected,84118,Washington,Google
Technical Project Manager,Microsoft,Career Site,Imtyaz,26-01-2024 00:00,01-02-2024 00:00,08-02-2024 00:00,02-03-2024 00:00,Joined,127398,California,Microsoft
RTL Design Engineer,Microsoft,Referral,Recruiter_B,29-01-2024 00:00,03-02-2024 00:00,13-02-2024 00:00,19-02-2024 00:00,Rejected,81531,Washington,Microsoft
RTL Design Engineer,Deloitte,Referral,Recruiter_D,29-01-2024 00:00,05-02-2024 00:00,07-02-2024 00:00,21-02-2024 00:00,Rejected,70650,Illinois,Deloitte
Mechanical Engineer,Deloitte,Indeed,Recruiter_D,29-01-2024 00:00,08-02-2024 00:00,10-02-2024 00:00,25-02-2024 00:00,Offered,145237,California,Deloitte
ASIC Design Engineer,Accenture,Naukri,Imtyaz,29-01-2024 00:00,01-02-2024 00:00,09-02-2024 00:00,25-02-2024 00:00,Joined,61822,Texas,Accenture
Mechanical Engineer,Amazon,Referral,Recruiter_A,29-01-2024 00:00,01-02-2024 00:00,05-02-2024 00:00,27-02-2024 00:00,Joined,97285,California,Amazon
Mechanical Engineer,Accenture,Indeed,Recruiter_C,29-01-2024 00:00,01-02-2024 00:00,10-02-2024 00:00,27-02-2024 00:00,Offered,60848,California,Accenture
RTL Design Engineer,Accenture,LinkedIn,Recruiter_C,29-01-2024 00:00,02-02-2024 00:00,05-02-2024 00:00,29-02-2024 00:00,Joined,128985,Washington,Accenture
ASIC Design Engineer,Google,Indeed,Recruiter_B,29-01-2024 00:00,01-02-2024 00:00,06-02-2024 00:00,01-03-2024 00:00,Rejected,87439,Texas,Google
Verification Engineer,Microsoft,LinkedIn,Recruiter_D,29-01-2024 00:00,06-02-2024 00:00,10-02-2024 00:00,03-03-2024 00:00,Offered,128668,Illinois,Microsoft
RTL Design Engineer,Google,Naukri,Imtyaz,29-01-2024 00:00,05-02-2024 00:00,09-02-2024 00:00,03-03-2024 00:00,Joined,123647,Texas,Google
Technical Project Manager,Amazon,Referral,Recruiter_B,29-01-2024 00:00,04-02-2024 00:00,12-02-2024 00:00,03-03-2024 00:00,Interview,96005,Washington,Amazon
RTL Design Engineer,Amazon,Indeed,Recruiter_A,29-01-2024 00:00,06-02-2024 00:00,15-02-2024 00:00,12-03-2024 00:00,Interview,74779,Texas,Amazon
Technical Project Manager,Deloitte,Career Site,Recruiter_B,30-01-2024 00:00,02-02-2024 00:00,07-02-2024 00:00,19-02-2024 00:00,Offered,68045,Illinois,Deloitte
Verification Engineer,Amazon,Career Site,Imtyaz,30-01-2024 00:00,04-02-2024 00:00,11-02-2024 00:00,22-02-2024 00:00,Rejected,88342,Washington,Amazon
ASIC Design Engineer,Deloitte,LinkedIn,Recruiter_B,30-01-2024 00:00,07-02-2024 00:00,14-02-2024 00:00,29-02-2024 00:00,Interview,119934,Washington,Deloitte
Verification Engineer,Google,Career Site,Recruiter_A,30-01-2024 00:00,03-02-2024 00:00,04-02-2024 00:00,02-03-2024 00:00,Joined,61973,Texas,Google
RTL Design Engineer,Amazon,LinkedIn,Imtyaz,31-01-2024 00:00,05-02-2024 00:00,06-02-2024 00:00,13-02-2024 00:00,Joined,136678,Illinois,Amazon
RTL Design Engineer,Google,Career Site,Imtyaz,31-01-2024 00:00,07-02-2024 00:00,08-02-2024 00:00,17-02-2024 00:00,Joined,91218,Texas,Google
RTL Design Engineer,Deloitte,LinkedIn,Recruiter_C,31-01-2024 00:00,01-02-2024 00:00,06-02-2024 00:00,19-02-2024 00:00,Rejected,116179,Illinois,Deloitte
Mechanical Engineer,Accenture,Referral,Imtyaz,31-01-2024 00:00,07-02-2024 00:00,09-02-2024 00:00,21-02-2024 00:00,Interview,103348,New York,Accenture
RTL Design Engineer,Amazon,Indeed,Recruiter_B,31-01-2024 00:00,07-02-2024 00:00,17-02-2024 00:00,22-02-2024 00:00,Offered,97813,California,Amazon
RTL Design Engineer,Accenture,LinkedIn,Recruiter_C,31-01-2024 00:00,05-02-2024 00:00,11-02-2024 00:00,12-03-2024 00:00,Offered,73232,New York,Accenture
RTL Design Engineer,Accenture,Indeed,Imtyaz,31-01-2024 00:00,09-02-2024 00:00,19-02-2024 00:00,18-03-2024 00:00,Interview,140523,New York,Accenture
Technical Project Manager,Accenture,Referral,Recruiter_B,01-02-2024 00:00,04-02-2024 00:00,05-02-2024 00:00,19-02-2024 00:00,Rejected,82997,New York,Accenture
Technical Project Manager,Microsoft,Referral,Recruiter_A,01-02-2024 00:00,09-02-2024 00:00,12-02-2024 00:00,20-02-2024 00:00,Joined,74483,Washington,Microsoft
Technical Project Manager,Microsoft,LinkedIn,Recruiter_A,01-02-2024 00:00,06-02-2024 00:00,16-02-2024 00:00,23-02-2024 00:00,Offered,110767,California,Microsoft
RTL Design Engineer,Google,Indeed,Recruiter_A,01-02-2024 00:00,05-02-2024 00:00,09-02-2024 00:00,28-02-2024 00:00,Offered,90275,Illinois,Google
Mechanical Engineer,Deloitte,Naukri,Recruiter_B,01-02-2024 00:00,09-02-2024 00:00,17-02-2024 00:00,02-03-2024 00:00,Interview,133971,Illinois,Deloitte
Verification Engineer,Accenture,Indeed,Recruiter_A,01-02-2024 00:00,04-02-2024 00:00,14-02-2024 00:00,02-03-2024 00:00,Interview,63065,California,Accenture
Verification Engineer,Amazon,LinkedIn,Recruiter_B,01-02-2024 00:00,06-02-2024 00:00,11-02-2024 00:00,07-03-2024 00:00,Joined,104362,New York,Amazon
RTL Design Engineer,Amazon,Career Site,Recruiter_D,01-02-2024 00:00,09-02-2024 00:00,17-02-2024 00:00,08-03-2024 00:00,Rejected,70553,Illinois,Amazon
Verification Engineer,Accenture,Naukri,Recruiter_A,01-02-2024 00:00,08-02-2024 00:00,17-02-2024 00:00,12-03-2024 00:00,Offered,101736,New York,Accenture
RTL Design Engineer,Deloitte,Naukri,Recruiter_C,01-02-2024 00:00,11-02-2024 00:00,21-02-2024 00:00,17-03-2024 00:00,Interview,126968,Texas,Deloitte
